"Method","Provider","Status","From:","Amount","Coin","To:","Date","Label","Gas","Block Number","Transaction Hash","Block Hash","Input"
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 14, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.11 => 0.2644154375205584","CUSD => 0.2644154375205584","0x471ece3750da237f93b8e339c536989b8978a438","Nov 14, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1 => 0.23751518643997702","CUSD => 0.23751518643997702","0x471ece3750da237f93b8e339c536989b8978a438","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.001","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01,
0.01","CELO,
CUSD","0x34bCc7C097bC4f58bA0B3caa1abD1a617E398194, 
0x34bCc7C097bC4f58bA0B3caa1abD1a617E398194","Nov 14, 2022","Payroll","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01,
0.01,
0.01,
0.01,
0.01,
0.01","CELO,
CUSD,
CELO,
CUSD,
CELO,
CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329, 
0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329, 
0x4d3C14235b42de915B2671dd476bfc48f0ae02ea, 
0x4d3C14235b42de915B2671dd476bfc48f0ae02ea, 
0x34bCc7C097bC4f58bA0B3caa1abD1a617E398194, 
0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 14, 2022","Payroll","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 13, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 13, 2022","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999989244","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 13, 2022 03:10:00 - Nov 23, 2022 02:10:00","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 12, 2022","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.019999999999997766","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 12, 2022 23:41:06 - Nov 13, 2022 00:00:00","","0.000 CELO","","","",""
"Received","Remox","Success","0xe1c9e12d71caafdbd9912773f5a207a2179bd8b6","0.6","CREAL","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","Nov 8, 2022","","0.000 CELO","16048402","0x88fd6883120f31224fa82e0860731f6a3fca1728f04ad379f6fce3f03947b0f3","0xde494abd022dc5f623d8dd6cadc425553a5a60a8e98603883648287e13be6019","0xe1d6aceb000000000000000000000000c733aa86f0c76e61dc813d3616eb9ab0a70af2130000000000000000000000000000000000000000000000000853a0d2313c000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000"
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.05,
0.1","CELO,
CREAL","0xe1c9E12D71CaafDBD9912773f5A207a2179bD8B6, 
0x4d3C14235b42de915B2671dd476bfc48f0ae02ea","Nov 8, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CUSD","0x4d3C14235b42de915B2671dd476bfc48f0ae02ea","Nov 8, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.4 => 0.39944857795549477","CUSD => 0.39944857795549477","0xd8763cba276a3738e6de85b4b3bf5fded6d6ca73","Nov 8, 2022","Swap","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998496","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 09, 2022 07:12:00 - Nov 10, 2022 07:12:00","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0199999999995264","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 08, 2022 08:07:00 - Nov 11, 2022 07:07:00","Finance","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01,
0.01","CELO,
CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4, 
0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 8, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01,
0.01","CELO,
CUSD","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4, 
0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 8, 2022","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999987048","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 08, 2022 01:24:00 - Nov 20, 2022 00:24:00","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1,
0.1","CUSD,
CELO","0x4d3C14235b42de915B2671dd476bfc48f0ae02ea, 
0x4d3C14235b42de915B2671dd476bfc48f0ae02ea","Nov 7, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1 => 0.13160499414482302","CUSD => 0.13160499414482302","0x471ece3750da237f93b8e339c536989b8978a438","Nov 7, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1 => 0.07508819974685074","CELO => 0.07508819974685074","0xd8763cba276a3738e6de85b4b3bf5fded6d6ca73","Nov 7, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1,
0.1","CUSD,
CELO","0xe1c9E12D71CaafDBD9912773f5A207a2179bD8B6, 
0xe1c9E12D71CaafDBD9912773f5A207a2179bD8B6","Nov 7, 2022","test","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.099999999999999","CELO","0x4d3C14235b42de915B2671dd476bfc48f0ae02ea","Nov 07, 2022 12:00:00 - Nov 07, 2022 12:15:00","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 7, 2022","Swap","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998424","CELO","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 07, 2022 11:48:00 - Nov 08, 2022 10:48:00","Payroll","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 7, 2022","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 7, 2022","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 7, 2022","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 7, 2022","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998424","CELO","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 07, 2022 10:56:00 - Nov 08, 2022 09:56:00","","0.000 CELO","","","",""
"Stream Created","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.00999999999989106","CELO","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 07, 2022 09:35:00 - Nov 08, 2022 09:34:00","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 7, 2022","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01999999999985408","CELO","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 08, 2022 01:09:40 - Nov 09, 2022 08:55:00","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 7, 2022","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.029999999997787283","CELO","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 07, 2022 01:07:00 - Nov 24, 2022 02:10:37","","0.000 CELO","","","",""
"Stream Created","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.09999999999999744","CELO","0x4d3C14235b42de915B2671dd476bfc48f0ae02ea","Nov 06, 2022 23:23:00 - Nov 06, 2022 23:55:00","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01,
0.01,
0.01,
0.01","CELO,
CELO,
CUSD,
CUSD","0x7c370E289f505B330d99ddEaCFfBD386d462cd28, 
0x7c370E289f505B330d99ddEaCFfBD386d462cd28, 
0x7c370E289f505B330d99ddEaCFfBD386d462cd28, 
0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 6, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 6, 2022","Payroll","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 5, 2022","Finance","0.000 CELO","","","",""
"Stream Created","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.099999999999999","CELO","0x4d3C14235b42de915B2671dd476bfc48f0ae02ea","Nov 04, 2022 00:05:00 - Nov 04, 2022 00:15:00","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x4d3C14235b42de915B2671dd476bfc48f0ae02ea","Nov 4, 2022","App","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.05523488635422132","CELO","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 3, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01","CUSD","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 3, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01","CUSD","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 3, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.027843519420854796","CELO","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 3, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.027854377315395116","CELO","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 3, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01 => 0.006595375872149798","CELO => 0.006595375872149798","0x9995cc8f20db5896943afc8ee0ba463259c931ed","Nov 3, 2022","Payroll","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998496","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 04, 2022 08:25:00 - Nov 05, 2022 08:25:00","","0.017 CELO","","","",""
"Stream Created","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998496","CELO","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 04, 2022 08:09:00 - Nov 05, 2022 08:09:00","","0.000 CELO","","","",""
"Stream Created","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998496","CELO","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 04, 2022 08:00:00 - Nov 05, 2022 08:00:00","","0.000 CELO","","","",""
"Stream Created","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998496","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 04, 2022 07:55:00 - Nov 05, 2022 07:55:00","","0.000 CELO","","","",""
"Stream Created","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998496","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 04, 2022 07:51:00 - Nov 05, 2022 07:51:00","","0.000 CELO","","","",""
"Stream Created","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0999999999999156","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 04, 2022 07:32:00 - Nov 05, 2022 00:00:00","","0.000 CELO","","","",""
"Add Owner","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 3, 2022","","0.005 CELO","","","",""
"Stream Created","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998496","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 04, 2022 07:20:00 - Nov 05, 2022 07:20:00","","0.000 CELO","","","",""
"Stream Created","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999998496","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 04, 2022 07:13:00 - Nov 05, 2022 07:13:00","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xD487dBe5ddc4044C62EAbA6721316993a90BD0a8","0.9999999999999072","PACT","0x7c370E289f505B330d99ddEaCFfBD386d462cd28","Nov 04, 2022 06:56:00 - Nov 05, 2022 06:56:00","","0.000 CELO","","","",""
"Unknown","Remox","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Oct 31, 2022","","0.018 CELO","","","",""
"Unknown","Remox","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Oct 31, 2022","","0.008 CELO","","","",""
"Unknown","Remox","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Oct 31, 2022","","0.004 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Oct 30, 2022","","0.000 CELO","","","",""
"Stream Created","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999999936","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Oct 31, 2022 21:21:00 - Oct 31, 2022 22:21:00","","0.000 CELO","","","",""
"Received","Remox","Success","0x4d3c14235b42de915b2671dd476bfc48f0ae02ea","3","gCELO","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","Oct 28, 2022","Green Staking","0.000 CELO","15859138","0x2b2db1327a1add80cf286ce3515c57ad19310285f4f28558652ec0b02227cf48","0x93a8321ae4d8feeb1ca34543f0a873247f8bab033266d0da4500321c033e6db2","0xa9059cbb000000000000000000000000c733aa86f0c76e61dc813d3616eb9ab0a70af21300000000000000000000000000000000000000000000000029a2241af62c0000"
"Received","Remox","Success","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.005","CELO","0xc733aa86f0c76e61dc813d3616eb9ab0a70af213","Oct 28, 2022","","0.000 CELO","15850608","0xb7a643104024afb246324f89213f80a837a88263cea4712cfd93b98c6a0e9477","0x4a1f1d7638cd67ed7354c8ac77a969254ea29be694ab9972fcbe595e60452b65","0x"
"Received","Remox","Success","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.005","CELO","0xc733aa86f0c76e61dc813d3616eb9ab0a70af213","Oct 28, 2022","","0.000 CELO","15850464","0x042abf274b4c31e5f1ea99cf0bcf1ba8750a525b7ae25b46792eaf8f6fe307aa","0x91f765b3191eb07913405aff6308c0910e38d2d03e168abe8326533f7aefd95c","0x"
"Received","Remox","Success","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.01","CELO","0xc733aa86f0c76e61dc813d3616eb9ab0a70af213","Oct 28, 2022","","0.000 CELO","15849873","0x1b63a79657b2122d8753931c58680fb461d029b9d6505405db56469ee3a3c142","0xe4893fbdd0aade9cec47e6b19eb7716da758bf6893a00566f7ffd82063d7bb03","0x"
"Received","Remox","Success","0x4d3c14235b42de915b2671dd476bfc48f0ae02ea","1","gCELO","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","Oct 27, 2022","","0.000 CELO","15839965","0xc222547fda5fb1978c5d5bd0fcf7b2217d56badbb6acb85473d5308a8d4e4b98","0x9c76b5ec5478a3765e015b49e8a2a8eb2b60d2e483712deed0c06bae81959db9","0xa9059cbb000000000000000000000000c733aa86f0c76e61dc813d3616eb9ab0a70af2130000000000000000000000000000000000000000000000000de0b6b3a7640000"
"Received","Remox","Success","0x184179c30bb636de41dc0a7d1d7c25631c7d78e5","1","CREAL","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","Oct 27, 2022","","0.000 CELO","15838775","0xfbe9b238e9a804c89d3f3baea50e26dcce64f51ee7d0e2741ad6b65b8a51e9b6","0x3f77d9a488aba032e7ec55bbaa5a8c4fc7d1de28e95c80cdc9f440d3603de9dd","0xa9059cbb000000000000000000000000c733aa86f0c76e61dc813d3616eb9ab0a70af2130000000000000000000000000000000000000000000000000de0b6b3a7640000"
"Received","Remox","Success","0x184179c30bb636de41dc0a7d1d7c25631c7d78e5","1","ARI","0xD487dBe5ddc4044C62EAbA6721316993a90BD0a8","Oct 26, 2022","","0.000 CELO","15823958","0xccd1301e52f2921d2f69f4ed370ce1f7c115f237f04c300c70f16cd502819dc6","0xe07d949fd90c0e050e92b8f900aef724a1b7ada22fc6bdd269168833eddae975","0xa9059cbb000000000000000000000000d487dbe5ddc4044c62eaba6721316993a90bd0a80000000000000000000000000000000000000000000000000de0b6b3a7640000"
"Received","Remox","Success","0x184179c30bb636de41dc0a7d1d7c25631c7d78e5","19","PACT","0xD487dBe5ddc4044C62EAbA6721316993a90BD0a8","Oct 26, 2022","","0.000 CELO","15823838","0x3f3a46408880cd5895d1f306be47955513d1528d3bf43db410b4b9fe016e34ec","0xadb0fb8a4ca42c54bdfb45a259316c6cb1b534943d7556c382d0362e167b6129","0xa9059cbb000000000000000000000000d487dbe5ddc4044c62eaba6721316993a90bd0a800000000000000000000000000000000000000000000000107ad8f556c6c0000"
"Received","Remox","Success","0xe1c9e12d71caafdbd9912773f5a207a2179bd8b6","1","CELO","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","Oct 14, 2022","","0.000 CELO","15618434","0xe53a5420fee567e3212cc1ba3d7cb4b00ef061d1d7fef11cdf943f2fb7b46efe","0x595265f016c301258e84a01739d5534810a4951d5728273ef291575e437fb120","0xe1d6aceb000000000000000000000000c733aa86f0c76e61dc813d3616eb9ab0a70af2130000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000097361666520746573740000000000000000000000000000000000000000000000"
"Received","Remox","Success","0xe1c9e12d71caafdbd9912773f5a207a2179bd8b6","1","CUSD","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","Oct 14, 2022","","0.000 CELO","15618429","0x87f5e0506c685256e6001db9dd5fbfb8a4e72ebacff0444ccdab2f2fa9c7a234","0x349a070540e3f88a1cdfec33ae00efdd7e81b641ebd79a0417b52748bddc1b2e","0xe1d6aceb000000000000000000000000c733aa86f0c76e61dc813d3616eb9ab0a70af2130000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000097361666520746573740000000000000000000000000000000000000000000000"